"Story","Title","Result","Date","Stability","Duration (s)"
"Verificar cada uno de los endpoint","Operaciones exitosas","SUCCESS","2023-10-06T21:36:49.4947854-05:00[America/Bogota]","0.0","6.31"
"Seleccionar productos en exito.com","Seleccionar productos","SUCCESS","2023-10-06T21:31:35.6210397-05:00[America/Bogota]","0.0","174.99"
